"Step","woven-puddle-82 - val/psnr_scat","woven-puddle-82 - val/psnr_scat__MIN","woven-puddle-82 - val/psnr_scat__MAX"
"95","27.063533782958984","27.063533782958984","27.063533782958984"
"97","26.384963989257812","26.384963989257812","26.384963989257812"
"99","27.090482711791992","27.090482711791992","27.090482711791992"
"101","25.92086410522461","25.92086410522461","25.92086410522461"
"578","34.65925979614258","34.65925979614258","34.65925979614258"
"580","33.3907470703125","33.3907470703125","33.3907470703125"
"582","32.586795806884766","32.586795806884766","32.586795806884766"
"584","33.413448333740234","33.413448333740234","33.413448333740234"
"1061","36.00813293457031","36.00813293457031","36.00813293457031"
"1063","34.55009460449219","34.55009460449219","34.55009460449219"
"1065","33.62960433959961","33.62960433959961","33.62960433959961"
"1067","33.65914535522461","33.65914535522461","33.65914535522461"
"1544","36.75703430175781","36.75703430175781","36.75703430175781"
"1546","35.50817108154297","35.50817108154297","35.50817108154297"
"1548","34.20674133300781","34.20674133300781","34.20674133300781"
"1550","35.30375289916992","35.30375289916992","35.30375289916992"
"2027","36.77772903442383","36.77772903442383","36.77772903442383"
"2029","35.43400955200195","35.43400955200195","35.43400955200195"
"2031","34.38448715209961","34.38448715209961","34.38448715209961"
"2033","35.120201110839844","35.120201110839844","35.120201110839844"
"2510","38.36183166503906","38.36183166503906","38.36183166503906"
"2512","37.10875701904297","37.10875701904297","37.10875701904297"
"2514","35.860897064208984","35.860897064208984","35.860897064208984"
"2516","37.35740661621094","37.35740661621094","37.35740661621094"
"2993","37.942867279052734","37.942867279052734","37.942867279052734"
"2995","36.43248748779297","36.43248748779297","36.43248748779297"
"2997","35.2944221496582","35.2944221496582","35.2944221496582"
"2999","36.909481048583984","36.909481048583984","36.909481048583984"
"3476","39.05988693237305","39.05988693237305","39.05988693237305"
"3478","38.5257682800293","38.5257682800293","38.5257682800293"
"3480","36.932334899902344","36.932334899902344","36.932334899902344"
"3482","38.090538024902344","38.090538024902344","38.090538024902344"
"3959","39.66205596923828","39.66205596923828","39.66205596923828"
"3961","38.456520080566406","38.456520080566406","38.456520080566406"
"3963","37.23966598510742","37.23966598510742","37.23966598510742"
"3965","38.53032302856445","38.53032302856445","38.53032302856445"
"4442","39.473365783691406","39.473365783691406","39.473365783691406"
"4444","38.79926300048828","38.79926300048828","38.79926300048828"
"4446","37.345523834228516","37.345523834228516","37.345523834228516"
"4448","38.939090728759766","38.939090728759766","38.939090728759766"
"4925","39.97037124633789","39.97037124633789","39.97037124633789"
"4927","38.59819412231445","38.59819412231445","38.59819412231445"
"4929","37.501617431640625","37.501617431640625","37.501617431640625"
"4931","39.10548400878906","39.10548400878906","39.10548400878906"
"5408","39.71199417114258","39.71199417114258","39.71199417114258"
"5410","39.573421478271484","39.573421478271484","39.573421478271484"
"5412","38.07807159423828","38.07807159423828","38.07807159423828"
"5414","40.0587043762207","40.0587043762207","40.0587043762207"
"5891","39.731475830078125","39.731475830078125","39.731475830078125"
"5893","39.0719108581543","39.0719108581543","39.0719108581543"
"5895","38.2786865234375","38.2786865234375","38.2786865234375"
"5897","38.72693634033203","38.72693634033203","38.72693634033203"
"6374","40.36433792114258","40.36433792114258","40.36433792114258"
"6376","39.61445236206055","39.61445236206055","39.61445236206055"
"6378","38.1658935546875","38.1658935546875","38.1658935546875"
"6380","40.63034439086914","40.63034439086914","40.63034439086914"
"6857","40.177730560302734","40.177730560302734","40.177730560302734"
"6859","39.229698181152344","39.229698181152344","39.229698181152344"
"6861","37.950992584228516","37.950992584228516","37.950992584228516"
"6863","39.50931930541992","39.50931930541992","39.50931930541992"
"7340","41.646202087402344","41.646202087402344","41.646202087402344"
"7342","40.919124603271484","40.919124603271484","40.919124603271484"
"7344","39.311248779296875","39.311248779296875","39.311248779296875"
"7346","41.124935150146484","41.124935150146484","41.124935150146484"
"7823","40.777198791503906","40.777198791503906","40.777198791503906"
"7825","39.8494987487793","39.8494987487793","39.8494987487793"
"7827","38.92474365234375","38.92474365234375","38.92474365234375"
"7829","39.4486198425293","39.4486198425293","39.4486198425293"
"8306","41.26506805419922","41.26506805419922","41.26506805419922"
"8308","39.81101989746094","39.81101989746094","39.81101989746094"
"8310","38.79030990600586","38.79030990600586","38.79030990600586"
"8312","40.6905632019043","40.6905632019043","40.6905632019043"
"8789","41.53664779663086","41.53664779663086","41.53664779663086"
"8791","40.66130447387695","40.66130447387695","40.66130447387695"
"8793","39.53669738769531","39.53669738769531","39.53669738769531"
"8795","41.027462005615234","41.027462005615234","41.027462005615234"
"9272","41.72946548461914","41.72946548461914","41.72946548461914"
"9274","41.33464431762695","41.33464431762695","41.33464431762695"
"9276","39.68617248535156","39.68617248535156","39.68617248535156"
"9278","41.36320495605469","41.36320495605469","41.36320495605469"
"9755","42.054412841796875","42.054412841796875","42.054412841796875"
"9757","40.57860565185547","40.57860565185547","40.57860565185547"
"9759","39.6480598449707","39.6480598449707","39.6480598449707"
"9761","40.313419342041016","40.313419342041016","40.313419342041016"
"10238","42.28140640258789","42.28140640258789","42.28140640258789"
"10240","41.3866081237793","41.3866081237793","41.3866081237793"
"10242","39.51780700683594","39.51780700683594","39.51780700683594"
"10244","41.508766174316406","41.508766174316406","41.508766174316406"
"10721","42.423099517822266","42.423099517822266","42.423099517822266"
"10723","41.67359161376953","41.67359161376953","41.67359161376953"
"10725","39.98154830932617","39.98154830932617","39.98154830932617"
"10727","42.173583984375","42.173583984375","42.173583984375"
"11204","42.055702209472656","42.055702209472656","42.055702209472656"
"11206","41.129459381103516","41.129459381103516","41.129459381103516"
"11208","39.755367279052734","39.755367279052734","39.755367279052734"
"11210","41.06633758544922","41.06633758544922","41.06633758544922"
"11687","42.678993225097656","42.678993225097656","42.678993225097656"
"11689","41.936439514160156","41.936439514160156","41.936439514160156"
"11691","40.34358215332031","40.34358215332031","40.34358215332031"
"11693","41.56403732299805","41.56403732299805","41.56403732299805"
"12170","41.79571533203125","41.79571533203125","41.79571533203125"
"12172","41.66716003417969","41.66716003417969","41.66716003417969"
"12174","40.00559997558594","40.00559997558594","40.00559997558594"
"12176","41.506202697753906","41.506202697753906","41.506202697753906"