"Step","woven-puddle-82 - val/rmse_scat","woven-puddle-82 - val/rmse_scat__MIN","woven-puddle-82 - val/rmse_scat__MAX"
"95","0.04434281215071678","0.04434281215071678","0.04434281215071678"
"97","0.04794593155384064","0.04794593155384064","0.04794593155384064"
"99","0.044205453246831894","0.044205453246831894","0.044205453246831894"
"101","0.05057742819190025","0.05057742819190025","0.05057742819190025"
"578","0.01849425956606865","0.01849425956606865","0.01849425956606865"
"580","0.021402409300208092","0.021402409300208092","0.021402409300208092"
"582","0.02347794733941555","0.02347794733941555","0.02347794733941555"
"584","0.021346544846892357","0.021346544846892357","0.021346544846892357"
"1061","0.01583409681916237","0.01583409681916237","0.01583409681916237"
"1063","0.018728166818618774","0.018728166818618774","0.018728166818618774"
"1065","0.02082187496125698","0.02082187496125698","0.02082187496125698"
"1067","0.02075117453932762","0.02075117453932762","0.02075117453932762"
"1544","0.01452607475221157","0.01452607475221157","0.01452607475221157"
"1546","0.016772251576185226","0.016772251576185226","0.016772251576185226"
"1548","0.01948331668972969","0.01948331668972969","0.01948331668972969"
"1550","0.017171654850244522","0.017171654850244522","0.017171654850244522"
"2027","0.014491504989564419","0.014491504989564419","0.014491504989564419"
"2029","0.016916070133447647","0.016916070133447647","0.016916070133447647"
"2031","0.01908866874873638","0.01908866874873638","0.01908866874873638"
"2033","0.0175384022295475","0.0175384022295475","0.0175384022295475"
"2510","0.012075591832399368","0.012075591832399368","0.012075591832399368"
"2512","0.013949611224234104","0.013949611224234104","0.013949611224234104"
"2514","0.016104785725474358","0.016104785725474358","0.016104785725474358"
"2516","0.013555941171944141","0.013555941171944141","0.013555941171944141"
"2993","0.01267232932150364","0.01267232932150364","0.01267232932150364"
"2995","0.015079105272889137","0.015079105272889137","0.015079105272889137"
"2997","0.0171901173889637","0.0171901173889637","0.0171901173889637"
"2999","0.01427335012704134","0.01427335012704134","0.01427335012704134"
"3476","0.011143090203404427","0.011143090203404427","0.011143090203404427"
"3478","0.01184980757534504","0.01184980757534504","0.01184980757534504"
"3480","0.01423584297299385","0.01423584297299385","0.01423584297299385"
"3482","0.012458709999918938","0.012458709999918938","0.012458709999918938"
"3959","0.010396737605333328","0.010396737605333328","0.010396737605333328"
"3961","0.01194466557353735","0.01194466557353735","0.01194466557353735"
"3963","0.013740947470068932","0.013740947470068932","0.013740947470068932"
"3965","0.011843602173030376","0.011843602173030376","0.011843602173030376"
"4442","0.010625066235661507","0.010625066235661507","0.010625066235661507"
"4444","0.011482509784400463","0.011482509784400463","0.011482509784400463"
"4446","0.01357449870556593","0.01357449870556593","0.01357449870556593"
"4448","0.011299138888716698","0.011299138888716698","0.011299138888716698"
"4925","0.010034164413809776","0.010034164413809776","0.010034164413809776"
"4927","0.011751418001949787","0.011751418001949787","0.011751418001949787"
"4929","0.01333273109048605","0.01333273109048605","0.01333273109048605"
"4931","0.011084746569395065","0.011084746569395065","0.011084746569395065"
"5408","0.010337135754525661","0.010337135754525661","0.010337135754525661"
"5410","0.0105033740401268","0.0105033740401268","0.0105033740401268"
"5412","0.01247660256922245","0.01247660256922245","0.01247660256922245"
"5414","0.00993263814598322","0.00993263814598322","0.00993263814598322"
"5891","0.010313976556062698","0.010313976556062698","0.010313976556062698"
"5893","0.011127672158181667","0.011127672158181667","0.011127672158181667"
"5895","0.012191737070679665","0.012191737070679665","0.012191737070679665"
"5897","0.011578520759940147","0.011578520759940147","0.011578520759940147"
"6374","0.009589215740561485","0.009589215740561485","0.009589215740561485"
"6376","0.010453874245285988","0.010453874245285988","0.010453874245285988"
"6378","0.012351091019809246","0.012351091019809246","0.012351091019809246"
"6380","0.009299994446337223","0.009299994446337223","0.009299994446337223"
"6857","0.009797456674277782","0.009797456674277782","0.009797456674277782"
"6859","0.010927353985607624","0.010927353985607624","0.010927353985607624"
"6861","0.012660480104386806","0.012660480104386806","0.012660480104386806"
"6863","0.01058117300271988","0.01058117300271988","0.01058117300271988"
"7340","0.008273511193692684","0.008273511193692684","0.008273511193692684"
"7342","0.00899588130414486","0.00899588130414486","0.00899588130414486"
"7344","0.01082523912191391","0.01082523912191391","0.01082523912191391"
"7346","0.008785229176282883","0.008785229176282883","0.008785229176282883"
"7823","0.009144078008830547","0.009144078008830547","0.009144078008830547"
"7825","0.010174776427447796","0.010174776427447796","0.010174776427447796"
"7827","0.011317815631628036","0.011317815631628036","0.011317815631628036"
"7829","0.01065538264811039","0.01065538264811039","0.01065538264811039"
"8306","0.008644632063806057","0.008644632063806057","0.008644632063806057"
"8308","0.010219954885542393","0.010219954885542393","0.010219954885542393"
"8310","0.011494353413581848","0.011494353413581848","0.011494353413581848"
"8312","0.009235742501914501","0.009235742501914501","0.009235742501914501"
"8789","0.008378523401916027","0.008378523401916027","0.008378523401916027"
"8791","0.009266902692615986","0.009266902692615986","0.009266902692615986"
"8793","0.010547876358032227","0.010547876358032227","0.010547876358032227"
"8795","0.008884374052286148","0.008884374052286148","0.008884374052286148"
"9272","0.00819457694888115","0.00819457694888115","0.00819457694888115"
"9274","0.008575660176575184","0.008575660176575184","0.008575660176575184"
"9276","0.01036790944635868","0.01036790944635868","0.01036790944635868"
"9278","0.008547513745725155","0.008547513745725155","0.008547513745725155"
"9755","0.007893674075603485","0.007893674075603485","0.007893674075603485"
"9757","0.009355555288493633","0.009355555288493633","0.009355555288493633"
"9759","0.010413501411676407","0.010413501411676407","0.010413501411676407"
"9761","0.009645593352615833","0.009645593352615833","0.009645593352615833"
"10238","0.00769005948677659","0.00769005948677659","0.00769005948677659"
"10240","0.008524511940777302","0.008524511940777302","0.008524511940777302"
"10242","0.01057083997875452","0.01057083997875452","0.01057083997875452"
"10244","0.008405464701354504","0.008405464701354504","0.008405464701354504"
"10721","0.007565627805888653","0.007565627805888653","0.007565627805888653"
"10723","0.008247463963925838","0.008247463963925838","0.008247463963925838"
"10725","0.010021265596151352","0.010021265596151352","0.010021265596151352"
"10727","0.007786113303154707","0.007786113303154707","0.007786113303154707"
"11204","0.007892506197094917","0.007892506197094917","0.007892506197094917"
"11206","0.00878065638244152","0.00878065638244152","0.00878065638244152"
"11208","0.01028564665466547","0.01028564665466547","0.01028564665466547"
"11210","0.00884469784796238","0.00884469784796238","0.00884469784796238"
"11687","0.007345987018197775","0.007345987018197775","0.007345987018197775"
"11689","0.008001619949936867","0.008001619949936867","0.008001619949936867"
"11691","0.00961215514689684","0.00961215514689684","0.00961215514689684"
"11693","0.008352146483957767","0.008352146483957767","0.008352146483957767"
"12170","0.008132314309477806","0.008132314309477806","0.008132314309477806"
"12172","0.008253573440015316","0.008253573440015316","0.008253573440015316"
"12174","0.009993555955588818","0.009993555955588818","0.009993555955588818"
"12176","0.00840794201940298","0.00840794201940298","0.00840794201940298"